Month;Megaliters
2020-02-09;53205
2020-02-10;56418
2020-02-11;56615
2020-02-12;57873
2020-02-13;58645
2020-02-14;52921
2020-02-15;51025
2020-02-16;55552
2020-02-17;62583
2020-02-18;63151
2020-02-19;61722
2020-02-20;59149
2020-02-21;55435
2020-02-22;51681
2020-02-23;49349
2020-02-24;49981
2020-02-25;56099
2020-02-26;53928
2020-02-27;56185
2020-02-28;55389
2020-02-29;53508
2020-03-01;55203
2020-03-02;64093
2020-03-03;64293
2020-03-04;63083
2020-03-05;61011
2020-03-06;56446
2020-03-07;57290
2020-03-08;49834
2020-03-09;51905
2020-03-10;56796
2020-03-11;57990
2020-03-12;61122
2020-03-13;62773
2020-03-14;59835
2020-03-15;70757
2020-03-16;92251
2020-03-17;99219
2020-03-18;80693
2020-03-19;74472
2020-03-20;71906
2020-03-21;75896
2020-03-22;80430
2020-03-23;85077
2020-03-24;82540
2020-03-25;81610
2020-03-26;66008
