ds;y
2019-12-23;91616
2019-12-24;93156
2019-12-25;90759
2019-12-26;88176
2019-12-27;86886
2019-12-28;95885
2019-12-29;98901
2019-12-30;96266
2019-12-31;57811
2020-01-01;65301
2020-01-02;69953
2020-01-03;60377
2020-01-04;54233
2020-01-05;52462
2020-01-06;51190
2020-01-07;53194
2020-01-08;48071
2020-01-09;50333
2020-01-10;49895
2020-01-11;46711
2020-01-12;48681
2020-01-13;48429
2020-01-14;49562
2020-01-15;48501
2020-01-16;48338
2020-01-17;46914
2020-01-18;42898
2020-01-19;45883
2020-01-20;49581
2020-01-21;49821
2020-01-22;48692
2020-01-23;47563
2020-01-24;47532
2020-01-25;44770
2020-01-26;47647
2020-01-27;50490
2020-01-28;50149
2020-01-29;49685
2020-01-30;50401
2020-01-31;49687
2020-02-01;46501
2020-02-02;48647
2020-02-03;52032
2020-02-04;52631
2020-02-05;52434
2020-02-06;52690
2020-02-07;51549
2020-02-08;48705
2020-02-09;53205
2020-02-10;56418
2020-02-11;56615
2020-02-12;57873
2020-02-13;58645
2020-02-14;52921
2020-02-15;51025
2020-02-16;55552
2020-02-17;62583
2020-02-18;63151
2020-02-19;61722
2020-02-20;59149
2020-02-21;55435
2020-02-22;51681
2020-02-23;49349
2020-02-24;49981
2020-02-25;56099
2020-02-26;53928
2020-02-27;56185
2020-02-28;55389
2020-02-29;53508
2020-03-01;55203
2020-03-02;64093
2020-03-03;64293
2020-03-04;63083
2020-03-05;61011
2020-03-06;56446
2020-03-07;57290
2020-03-08;49834
2020-03-09;51905
2020-03-10;56796
2020-03-11;57990
2020-03-12;61122
2020-03-13;62773
2020-03-14;59835
2020-03-15;70757
2020-03-16;92251
2020-03-17;99219
2020-03-18;80693
2020-03-19;74472
2020-03-20;71906
2020-03-21;75896
2020-03-22;80430
2020-03-23;85077
2020-03-24;82540
2020-03-25;81610
2020-03-26;82086
2020-03-27;80590
2020-03-28;92836
2020-03-29;101257
2020-03-30;112157
